sim_type,base_learner,n,EP-Learner (ours),DR-Learner,R-Learner,T-Learner,Causal Forest
C,Random Forest,500,5.14e-02 (3.97e-03) [345],5.64e-02 (5.59e-03) [345],3.74e-02 (3.18e-03) [345],7.48e-01 (1.01e-02) [345],1.69e-02 (1.21e-03) [345]
C,Random Forest,1000,2.46e-02 (1.65e-03) [342],3.59e-02 (4.22e-03) [342],1.75e-02 (1.60e-03) [342],5.53e-01 (6.29e-03) [342],8.27e-03 (6.60e-04) [342]
C,Random Forest,2000,1.14e-02 (8.50e-04) [344],1.73e-02 (1.85e-03) [344],1.25e-02 (1.41e-03) [344],4.46e-01 (9.11e-03) [344],4.62e-03 (2.78e-04) [344]
C,GAM,500,1.15e-01 (1.16e-02) [99],1.39e-01 (1.84e-02) [99],1.23e-01 (6.72e-03) [99],7.13e-01 (2.18e-02) [99],
C,GAM,1000,5.93e-02 (3.79e-03) [97],6.98e-02 (5.59e-03) [97],6.27e-02 (3.37e-03) [97],5.91e-01 (1.46e-02) [97],
C,GAM,2000,2.53e-02 (1.86e-03) [100],2.90e-02 (1.97e-03) [100],2.89e-02 (1.87e-03) [100],5.27e-01 (1.01e-02) [100],
D,XGBoost,500,6.55e-01 (1.24e-02) [100],1.16e+00 (1.13e-01) [100],8.11e-01 (1.46e-02) [100],5.14e-01 (6.40e-03) [100],
D,XGBoost,1000,4.84e-01 (8.37e-03) [99],7.61e-01 (1.99e-02) [99],5.69e-01 (1.07e-02) [99],4.11e-01 (8.24e-03) [99],
D,XGBoost,2000,3.38e-01 (5.05e-03) [99],5.30e-01 (2.84e-02) [99],4.28e-01 (6.29e-03) [99],2.55e-01 (5.04e-03) [99],
D,Random Forest,500,6.71e-01 (1.22e-02) [100],1.05e+00 (9.17e-02) [100],7.10e-01 (1.15e-02) [100],4.15e-01 (6.13e-03) [100],1.07e+00 (1.35e-02) [100]
D,Random Forest,1000,4.93e-01 (8.82e-03) [99],6.62e-01 (2.38e-02) [99],5.40e-01 (9.22e-03) [99],3.10e-01 (3.99e-03) [99],8.83e-01 (1.27e-02) [99]
D,Random Forest,2000,3.51e-01 (5.76e-03) [99],5.05e-01 (4.16e-02) [99],4.25e-01 (6.55e-03) [99],2.20e-01 (2.82e-03) [99],7.15e-01 (9.41e-03) [99]
D,GAM,500,5.68e-01 (1.07e-02) [100],5.98e-01 (1.61e-02) [100],5.17e-01 (9.93e-03) [100],5.03e-01 (8.09e-03) [100],
D,GAM,1000,4.68e-01 (6.80e-03) [99],4.67e-01 (7.06e-03) [99],4.45e-01 (6.70e-03) [99],4.62e-01 (6.02e-03) [99],
D,GAM,2000,3.96e-01 (3.60e-03) [99],3.94e-01 (6.45e-03) [99],3.93e-01 (4.54e-03) [99],4.17e-01 (4.50e-03) [99],
