sim_type,base_learner,n,method,mean_mse,se_mse,n_iter,lo,hi
A,XGBoost,2000,EP-Learner (ours),0.035435051836212,0.00180535128851125,99,0.0318965633107299,0.038973540361694
A,Random Forest,2000,EP-Learner (ours),0.0339313537821752,0.00159355692705793,99,0.0308079822051417,0.0370547253592088
A,GAM,2000,R-Learner,0.0311707766822138,0.00153557573162357,99,0.0281610482482316,0.034180505116196
B,XGBoost,2000,EP-Learner (ours),0.0754824213889336,0.00344344605694,99,0.0687332671173312,0.082231575660536
B,Random Forest,2000,EP-Learner (ours),0.075404241570257,0.00318153707457957,99,0.0691684289040811,0.081640054236433
B,GAM,2000,T-Learner,0.0258380910125141,0.00133772707524601,99,0.0232161459450319,0.0284600360799963
C,XGBoost,2000,EP-Learner (ours),0.0242000281535699,0.00232666921855597,100,0.0196397564852002,0.0287602998219396
C,Random Forest,2000,Causal Forest,0.00461593741618831,0.000277837868535865,344,0.00407137519385801,0.0051604996385186
C,GAM,2000,EP-Learner (ours),0.025343024088235,0.00185972927424411,100,0.0216979547107165,0.0289880934657534
D,XGBoost,2000,T-Learner,0.254835385714327,0.00503533763653188,99,0.244966123946725,0.26470464748193
D,Random Forest,2000,T-Learner,0.219563069083469,0.0028207503237724,99,0.214034398448875,0.225091739718062
D,GAM,2000,R-Learner,0.393156868060118,0.00453737852559632,99,0.384263606149949,0.402050129970287
