sim_type,base_learner,n,EP-Learner (ours),DR-Learner,R-Learner,T-Learner,Causal Forest
A,XGBoost,500,0.125173968530153,0.407521865807769,0.130332858175951,0.171157988676077,
A,XGBoost,1000,0.0622530539566813,0.193543101215023,0.0811771429507184,0.124095956740152,
A,XGBoost,2000,0.035435051836212,0.0653046804078748,0.0441350596446665,0.100352938994673,
A,Random Forest,500,0.100288530162962,0.0807181004623037,0.0827243536967088,0.201767616643248,0.0525455999279253
A,Random Forest,1000,0.0613059263229622,0.0726120218056414,0.0704406952920086,0.141734282590111,0.0455985366660164
A,Random Forest,2000,0.0339313537821752,0.145105251201906,0.0950509868873854,0.0959425402993738,0.0369762294406127
A,GAM,500,0.131567887155378,0.192192224731784,0.12195485764059,0.109273290039467,
A,GAM,1000,0.0664219441027586,0.0960998473554524,0.0628006812033072,0.059727679497676,
A,GAM,2000,0.0351621293177292,0.0374816736614293,0.0311707766822138,0.0429647984746,
B,XGBoost,500,0.186004765222285,0.305318316339542,0.299144758781939,0.451209266659515,
B,XGBoost,1000,0.105555294553801,0.160450123087036,0.177370083594174,0.371530415614778,
B,XGBoost,2000,0.0754824213889336,0.162741724103955,0.114139413037457,0.29181954544719,
B,Random Forest,500,0.192251610974992,0.334683023341388,0.361072470659719,0.384967260346389,0.411868664120835
B,Random Forest,1000,0.110525660796689,0.195658399456147,0.219529199171041,0.299985917623661,0.236047499222122
B,Random Forest,2000,0.075404241570257,0.182648442171307,0.136957178799495,0.228324940060138,0.129155255635068
B,GAM,500,0.117035132216668,0.121249992519228,0.157008163594547,0.100025973112928,
B,GAM,1000,0.0575418097894564,0.0519227205152771,0.0666311332261032,0.0537128969453753,
B,GAM,2000,0.0309792545341427,0.0342617020364618,0.0281804880017471,0.0258380910125141,
C,XGBoost,500,0.104305978892246,0.194571377035091,0.120202678733438,0.865498425615879,
C,XGBoost,1000,0.0531018774490018,0.133932536542662,0.0653569401812975,0.614618014157905,
C,XGBoost,2000,0.0242000281535699,0.0768495766946775,0.0388737551970293,0.473052098496203,
C,Random Forest,500,0.0513662935583567,0.0564145806197238,0.0374089380763849,0.74760676462135,0.0168601892309289
C,Random Forest,1000,0.0245708696085767,0.0358968462548672,0.0174813199936727,0.552845304873045,0.00827279364673313
C,Random Forest,2000,0.0113569935074819,0.0173190691939352,0.0124691651535651,0.446418320336558,0.00461593741618831
C,GAM,500,0.115195389132983,0.139400393279334,0.123049064448712,0.712951650756185,
C,GAM,1000,0.0593460618454246,0.0697956316812018,0.0626819776291697,0.591407486911512,
C,GAM,2000,0.025343024088235,0.0289746336213516,0.028921273002324,0.526753842207779,
D,XGBoost,500,0.654529028160758,1.15823341781592,0.811422661753258,0.514342598004682,
D,XGBoost,1000,0.484035086290626,0.76143731957595,0.569206598794039,0.411173699243923,
D,XGBoost,2000,0.338081478737663,0.529976399494478,0.427690333934134,0.254835385714327,
D,Random Forest,500,0.671022291860012,1.05315020017234,0.710467483779307,0.415330096409703,1.07240681016394
D,Random Forest,1000,0.492513583123151,0.662357270744781,0.540195427759043,0.309524393486522,0.882905491184742
D,Random Forest,2000,0.350758762667837,0.504583841608771,0.425219153158015,0.219563069083469,0.714674909743056
D,GAM,500,0.568283559632581,0.597882559887099,0.517290384053872,0.503333102022229,
D,GAM,1000,0.467689576320027,0.467219119027504,0.445304922891729,0.461914943700058,
D,GAM,2000,0.39648642690579,0.393734349134001,0.393156868060118,0.417373788801072,
