sim_type,base_learner,n,method,mean_mse,se_mse,n_iter
C,XGBoost,2000,EP-Learner (ours),0.0242000281535699,0.00232666921855597,100
C,XGBoost,2000,DR-Learner,0.0768495766946775,0.0140692535870897,100
C,XGBoost,2000,R-Learner,0.0388737551970293,0.0029811162036997,100
C,XGBoost,2000,T-Learner,0.473052098496203,0.00686250066423489,100
C,Random Forest,500,EP-Learner (ours),0.0513662935583567,0.00397100361088677,345
C,Random Forest,500,DR-Learner,0.0564145806197238,0.005587410428812,345
C,Random Forest,500,R-Learner,0.0374089380763849,0.00318179772564344,345
C,Random Forest,500,T-Learner,0.74760676462135,0.0101285085251616,345
C,Random Forest,500,Causal Forest,0.0168601892309289,0.00120807035874584,345
C,Random Forest,1000,EP-Learner (ours),0.0245708696085767,0.00165274725333678,342
C,Random Forest,1000,DR-Learner,0.0358968462548672,0.00422376275334218,342
C,Random Forest,1000,R-Learner,0.0174813199936727,0.00160389493170783,342
C,Random Forest,1000,T-Learner,0.552845304873045,0.00629090410995225,342
C,Random Forest,1000,Causal Forest,0.00827279364673313,0.000660388585870362,342
C,Random Forest,2000,EP-Learner (ours),0.0113569935074819,0.000849727804818079,344
C,Random Forest,2000,DR-Learner,0.0173190691939352,0.00184594296974554,344
C,Random Forest,2000,R-Learner,0.0124691651535651,0.00141114048327541,344
C,Random Forest,2000,T-Learner,0.446418320336558,0.00911022654796888,344
C,Random Forest,2000,Causal Forest,0.00461593741618831,0.000277837868535865,344
C,GAM,500,EP-Learner (ours),0.115195389132983,0.0115613832865389,99
C,GAM,500,DR-Learner,0.139400393279334,0.0183764740173783,99
C,GAM,500,R-Learner,0.123049064448712,0.0067234788533116,99
C,GAM,500,T-Learner,0.712951650756185,0.0217657407973029,99
C,GAM,1000,EP-Learner (ours),0.0593460618454246,0.00378625537232987,97
C,GAM,1000,DR-Learner,0.0697956316812018,0.00559373267719319,97
C,GAM,1000,R-Learner,0.0626819776291697,0.00336640965967125,97
C,GAM,1000,T-Learner,0.591407486911512,0.0145601289632825,97
C,GAM,2000,EP-Learner (ours),0.025343024088235,0.00185972927424411,100
C,GAM,2000,DR-Learner,0.0289746336213516,0.00196705298419919,100
C,GAM,2000,R-Learner,0.028921273002324,0.0018740503524377,100
C,GAM,2000,T-Learner,0.526753842207779,0.0101016227153281,100
D,XGBoost,500,EP-Learner (ours),0.654529028160758,0.0123829875334148,100
D,XGBoost,500,DR-Learner,1.15823341781592,0.113323768122279,100
D,XGBoost,500,R-Learner,0.811422661753258,0.0145924301716569,100
D,XGBoost,500,T-Learner,0.514342598004682,0.0063971783090908,100
D,XGBoost,1000,EP-Learner (ours),0.484035086290626,0.00836892632157268,99
D,XGBoost,1000,DR-Learner,0.76143731957595,0.0198749266544288,99
D,XGBoost,1000,R-Learner,0.569206598794039,0.0106960178341026,99
D,XGBoost,1000,T-Learner,0.411173699243923,0.00823555407865069,99
D,XGBoost,2000,EP-Learner (ours),0.338081478737663,0.00504539987446302,99
D,XGBoost,2000,DR-Learner,0.529976399494478,0.0283560105450725,99
D,XGBoost,2000,R-Learner,0.427690333934134,0.00629242253809719,99
D,XGBoost,2000,T-Learner,0.254835385714327,0.00503533763653188,99
D,Random Forest,500,EP-Learner (ours),0.671022291860012,0.0122326319748605,100
D,Random Forest,500,DR-Learner,1.05315020017234,0.0916867954621201,100
D,Random Forest,500,R-Learner,0.710467483779307,0.0114728322278695,100
D,Random Forest,500,T-Learner,0.415330096409703,0.00612549796800539,100
D,Random Forest,500,Causal Forest,1.07240681016394,0.0134837174972964,100
D,Random Forest,1000,EP-Learner (ours),0.492513583123151,0.00882397835922378,99
D,Random Forest,1000,DR-Learner,0.662357270744781,0.0238053060558029,99
D,Random Forest,1000,R-Learner,0.540195427759043,0.00922426308726478,99
D,Random Forest,1000,T-Learner,0.309524393486522,0.00399094831868291,99
D,Random Forest,1000,Causal Forest,0.882905491184742,0.0126603488254481,99
D,Random Forest,2000,EP-Learner (ours),0.350758762667837,0.00576160558382978,99
D,Random Forest,2000,DR-Learner,0.504583841608771,0.041596177368962,99
D,Random Forest,2000,R-Learner,0.425219153158015,0.00655126653797236,99
D,Random Forest,2000,T-Learner,0.219563069083469,0.0028207503237724,99
D,Random Forest,2000,Causal Forest,0.714674909743056,0.00941069149688181,99
D,GAM,500,EP-Learner (ours),0.568283559632581,0.0107266261328115,100
D,GAM,500,DR-Learner,0.597882559887099,0.0161271986059561,100
D,GAM,500,R-Learner,0.517290384053872,0.00992976573708034,100
D,GAM,500,T-Learner,0.503333102022229,0.0080866284205392,100
D,GAM,1000,EP-Learner (ours),0.467689576320027,0.00679596047623205,99
D,GAM,1000,DR-Learner,0.467219119027504,0.00705674936645133,99
D,GAM,1000,R-Learner,0.445304922891729,0.00669970955758702,99
D,GAM,1000,T-Learner,0.461914943700058,0.00601693508492862,99
D,GAM,2000,EP-Learner (ours),0.39648642690579,0.00360001222032298,99
D,GAM,2000,DR-Learner,0.393734349134001,0.00645256435873104,99
D,GAM,2000,R-Learner,0.393156868060118,0.00453737852559632,99
D,GAM,2000,T-Learner,0.417373788801072,0.0045039878045199,99
