iter,sim_type,n,d,sigma,lrnr,ep_risk,dr_risk,r_risk,t_risk,causal_forest_risk
1,C,2000,5,1,mean,0.000178786725166101,0.00055608363728623,0.00133682453450935,2.10381508848665,
2,C,2000,5,1,mean,4.23435526409812e-05,2.85223067916221e-05,7.6574146718943e-05,2.27122536768276,
3,C,2000,5,1,mean,0.000423618377308815,0.000563300185781601,0.00168697546681636,2.09229325971978,
4,C,2000,5,1,mean,0.00196581526477438,0.00198133730302944,0.000204771943386729,2.09700926549061,
5,C,2000,5,1,mean,0.000193997356936763,2.37171355649001e-05,0.000794464023765317,2.02637527413983,
6,C,2000,5,1,mean,7.11308277158105e-07,0.000156586533522558,0.000306453384136818,2.22769024963716,
7,C,2000,5,1,mean,9.23615367957172e-07,8.3565173775773e-05,0.0036766151238421,2.29071254029529,
8,C,2000,5,1,mean,0.00275973054372887,0.00209302619221221,0.000509237035871272,2.00913665780101,
9,C,2000,5,1,mean,2.96406872440947e-06,8.72543699316522e-05,0.0047041233087239,2.22171069425115,
10,C,2000,5,1,mean,0.0106910346586685,0.0107261818736898,0.00519614146576734,2.00896063707702,
11,C,2000,5,1,mean,0.00546861399549541,0.00426611002322769,0.000790828134021315,2.18168995979387,
12,C,2000,5,1,mean,0.0141935700841474,0.0149451679840319,0.0184808201091436,1.98993686450983,
13,C,2000,5,1,mean,0.000148264800888178,0.000210225424072485,0.00131780285119706,1.85877885130101,
14,C,2000,5,1,mean,0.000490270874898762,0.000351869779540206,9.3074169813584e-06,1.9345028876455,
15,C,2000,5,1,mean,0.00347505109564799,0.00344590438630353,0.004332817267741,2.08924105029978,
16,C,2000,5,1,mean,0.00682430499086865,0.00772074150047057,0.00274552732991229,2.20856897156369,
17,C,2000,5,1,mean,0.00129719555493488,0.000963022691221372,3.48500280982354e-05,1.79739914266329,
18,C,2000,5,1,mean,0.00303623280705074,0.00303463318679103,0.00381092421616364,1.96151048437182,
19,C,2000,5,1,mean,0.0128733602331963,0.0126468772519821,0.00531969551928611,2.35891992931586,
20,C,2000,5,1,mean,0.00484949706460126,0.00482539904884333,0.00313755822851492,2.12314011065247,
21,C,2000,5,1,mean,0.00123856534856469,0.00133763636358553,0.00222387866782704,2.16147541969222,
22,C,2000,5,1,mean,0.000798527266255859,0.000733732769521219,1.17087874887662e-05,2.02300513962975,
23,C,2000,5,1,mean,9.23613260931345e-06,1.9071349486903e-07,0.00206158901380305,2.28923872784281,
24,C,2000,5,1,mean,0.00014389588432833,0.000151618143938696,0.000206820802436174,1.92031236281489,
25,C,2000,5,1,mean,0.000880049960292067,0.000892660799947645,0.0105674951195169,1.84170288470886,
26,C,2000,5,1,mean,0.000224556463704735,0.000215825581616688,0.000356878177342359,1.90295752850064,
27,C,2000,5,1,mean,0.00107978516394786,0.00108121268369126,0.00168157725415836,2.19336211260077,
28,C,2000,5,1,mean,0.00178994774139691,0.00182118717486553,0.00304953875769606,2.0031758625746,
29,C,2000,5,1,mean,0.0205168740061542,0.0189343714174343,0.00480365992699559,2.45121714359688,
30,C,2000,5,1,mean,0.00677794370985628,0.00677765037011697,0.00762136872003633,2.16652638263723,
31,C,2000,5,1,mean,0.000200368950225256,0.000219819553661823,0.0004212618371725,2.1197491395309,
32,C,2000,5,1,mean,0.00224684638506241,0.00239090844485525,0.00159391162527854,1.78292546502921,
33,C,2000,5,1,mean,0.0001225134600675,0.000122763470875265,0.000126479443000182,2.10209534734656,
34,C,2000,5,1,mean,0.00390410715190593,0.00376514392777365,0.00983733779750191,2.08656896147793,
35,C,2000,5,1,mean,0.00174244417420265,0.00212233826708267,0.0144698188131901,1.99385405878737,
36,C,2000,5,1,mean,2.43444419892791e-06,8.55299347330743e-05,0.00117861234962128,2.22020871931075,
37,C,2000,5,1,mean,6.19806916932878e-05,3.63597487516512e-05,0.000571567730031363,2.09109929152914,
38,C,2000,5,1,mean,0.00151798900794063,0.00145858823434621,0.000671786726276877,2.21967158693044,
39,C,2000,5,1,mean,0.00568397708453448,0.00628784743750502,0.00284520192035832,2.23376627681721,
40,C,2000,5,1,mean,3.76385533562923e-05,4.48065779395002e-05,7.94066561310323e-07,1.83688253443031,
41,C,2000,5,1,mean,0.0177347547911276,0.0176684877886435,0.0119140414313828,1.53067473815587,
42,C,2000,5,1,mean,0.00595005788128485,0.00674511826865948,0.000643489228924204,2.04403986946521,
43,C,2000,5,1,mean,4.66532078760544e-05,8.33408513328703e-05,0.000105597255650523,2.33362111633218,
44,C,2000,5,1,mean,0.0042417867207369,0.00364488849049955,0.00528149159171069,2.13953253651183,
45,C,2000,5,1,mean,0.000821047019288192,0.000780053635395598,0.000343970600466518,2.24863772053134,
46,C,2000,5,1,mean,0.000781980879391691,0.000658672644310992,0.00170518254259553,2.62035167846378,
47,C,2000,5,1,mean,0.000225728433693049,1.10859578169086e-05,0.0011612343783491,1.8776047059151,
48,C,2000,5,1,mean,0.00870924946971234,0.0185826975338411,0.00403007549039768,1.87963969254885,
49,C,2000,5,1,mean,3.02679300733148e-05,2.41534670808977e-05,0.00015872811129956,1.91412806515941,
50,C,2000,5,1,mean,0.00581670984255578,0.00604425920138721,0.00288474898819531,2.1007665411438,
51,C,2000,5,1,mean,0.000407307386607524,0.000195894853584019,0.0016706783299361,2.30251856303281,
52,C,2000,5,1,mean,0.00406340392809601,0.00380806893159703,0.00905930314448696,2.19351027805844,
53,C,2000,5,1,mean,5.32346853763408e-05,3.60151802182173e-05,0.000526509316679703,2.1679178511513,
54,C,2000,5,1,mean,0.000957602568755163,0.000947753879309831,0.000672412847178101,2.53981281808401,
55,C,2000,5,1,mean,3.73363700564129e-05,2.82815666038956e-05,0.000373661787445326,2.0619793818671,
56,C,2000,5,1,mean,0.000251253185491987,0.000122009777018097,0.00128632099808823,1.81716890871348,
57,C,2000,5,1,mean,1.64449705490844e-05,9.9171062497367e-06,0.000483145075312213,2.27843777683617,
58,C,2000,5,1,mean,0.000134013632709123,0.000179084721522407,0.00157657179655613,2.04250786361432,
59,C,2000,5,1,mean,0.000148417919844165,0.000148162208787859,0.000693988594184142,2.10986530975884,
60,C,2000,5,1,mean,0.000511244750267964,0.000263517019587583,0.00170059301994342,1.79831154247125,
61,C,2000,5,1,mean,0.00905343728475436,0.00829014759012012,0.00351851327548478,2.29679368759384,
62,C,2000,5,1,mean,0.000846936816561281,0.000597367124210033,0.000603741951356774,2.57777915800802,
63,C,2000,5,1,mean,0.00326737943680048,0.00333966189800074,0.00388335835166426,1.95050845766242,
64,C,2000,5,1,mean,8.42884480198017e-05,0.000233168669803527,0.00106787386378651,2.20317087670325,
65,C,2000,5,1,mean,0.000718231894789531,0.000713267024753207,0.000974002764970132,1.88490323419546,
66,C,2000,5,1,mean,0.000265861530426997,0.000252079640643531,0.000600876640480226,2.13029224912146,
67,C,2000,5,1,mean,9.83606665679029e-05,0.0002006840460878,0.000416324783939383,2.04606527074115,
68,C,2000,5,1,mean,4.15394598161863e-05,9.96824908407947e-05,0.000828545617719353,1.90434156683527,
69,C,2000,5,1,mean,0.0063331853884505,0.00624783453301454,0.00206557624060163,1.77868337809545,
70,C,2000,5,1,mean,3.14929830279494e-05,6.24914543520381e-05,0.00182983568320319,2.12731906591305,
71,C,2000,5,1,mean,2.51860281175032e-05,4.92189903446067e-05,0.000325945588094895,1.98438379340438,
72,C,2000,5,1,mean,0.00389424930454125,0.00428421804137481,0.00356074718691107,1.65444826770382,
73,C,2000,5,1,mean,0.00359619889342464,0.00472166174203903,0.00809106866254771,2.138598762178,
74,C,2000,5,1,mean,0.00740806533038184,0.00852732386211743,0.0140585212883603,1.98018374372668,
75,C,2000,5,1,mean,0.0033419207522742,0.00705004284147243,0.00128798165224051,1.85169704254711,
76,C,2000,5,1,mean,0.0114815408593575,0.0122537293216353,0.0177024488679134,2.46876805644083,
77,C,2000,5,1,mean,0.000290072174330956,0.000317874627537006,0.00200064287396208,1.82147249090238,
78,C,2000,5,1,mean,0.00534884002614639,0.00480951676374995,0.000682477621752477,1.85453452081144,
79,C,2000,5,1,mean,0.00749268666906839,0.00866289454275973,0.00699084861697021,1.92831582529126,
80,C,2000,5,1,mean,0.00185499359302245,0.00196794507700278,5.59138466114415e-06,1.93989659757805,
81,C,2000,5,1,mean,4.07417531469752e-05,3.62081834311573e-05,0.000312069407761731,2.09971308443368,
82,C,2000,5,1,mean,0.00721785718304407,0.005736266863791,0.000988248185255347,1.94667390828194,
83,C,2000,5,1,mean,0.00234260056609413,0.00230262366611826,0.00669487954138177,1.92019720521236,
84,C,2000,5,1,mean,0.0015612490079745,0.00203062678434959,0.00521168683601255,2.21962034920793,
85,C,2000,5,1,mean,0.00612951826051797,0.00602467347672665,0.00570319183333785,1.94627693666162,
86,C,2000,5,1,mean,0.0030512703677329,0.00295499665091628,0.00404367790137105,1.87887381701977,
87,C,2000,5,1,mean,0.0104992587640682,0.00911166627495178,0.0093409923553515,2.4619877343735,
88,C,2000,5,1,mean,0.000198308082408229,0.000374612162717654,1.1449072951213e-05,1.58568302555884,
89,C,2000,5,1,mean,0.00745097532140426,0.00617737311106897,0.00238848828795715,2.3333969779242,
90,C,2000,5,1,mean,0.00523750166929197,0.0051300465525056,0.00386270780005897,1.91722763239326,
91,C,2000,5,1,mean,7.2564118193105e-05,9.02979401571399e-05,0.000594941934888668,2.17822870941989,
92,C,2000,5,1,mean,1.20227608385808e-05,1.35918678572853e-06,1.07090594914079e-05,1.61675284979245,
93,C,2000,5,1,mean,5.63086674976389e-05,5.63981482759381e-05,0.00107600086582231,2.13958944087407,
94,C,2000,5,1,mean,0.00342805546042868,0.00363112029084683,0.00431188547571041,1.90172270152703,
95,C,2000,5,1,mean,0.0122866448075621,0.0132300665648675,0.0103864143916798,1.90474581231192,
96,C,2000,5,1,mean,0.000644763984873996,0.000653556605378694,0.00431718134479345,2.29148923790886,
97,C,2000,5,1,mean,0.00199280711291273,0.00224201855328565,0.000295652462767079,2.2477377188295,
98,C,2000,5,1,mean,0.00843808422727672,0.00802805985431581,0.0039978229645095,2.50182696009215,
99,C,2000,5,1,mean,0.00680650234405414,0.00757900313127944,0.0149037956156232,1.37792233634004,
100,C,2000,5,1,mean,0.000327718658135155,0.000210602041876696,1.72656378909239e-05,2.30856773519119,
101,C,2000,5,1,mean,0.000103735963028106,0.000100089009497657,2.92069701668643e-06,2.45304020981474,
102,C,2000,5,1,mean,0.00762750643071378,0.00763099627711256,0.00763802137603457,1.91791920399096,
103,C,2000,5,1,mean,0.00283418101042194,0.00306831861925558,0.00180531210757954,2.26542965952722,
104,C,2000,5,1,mean,3.77223697102322e-05,7.40572687807205e-07,0.000189126667424627,2.28089800128701,
105,C,2000,5,1,mean,0.000403794555259337,0.000415007690054109,0.00085204062625045,2.37367409023438,
106,C,2000,5,1,mean,0.00949371178129863,0.00865230769713311,0.00626206435065465,2.07766765767252,
107,C,2000,5,1,mean,0.000209773305415292,0.000210134744638394,5.72111916221097e-05,2.09759305617359,
108,C,2000,5,1,mean,0.00831051755098876,0.00745386597969481,0.00574137771161293,1.82322487253553,
109,C,2000,5,1,mean,0.00322618784858774,0.00346936081887819,0.00136735374055792,2.15346564476712,
110,C,2000,5,1,mean,0.0159074940936337,0.0152257617868622,0.00791363760720269,2.29875540675194,
111,C,2000,5,1,mean,0.000502962476041923,0.000425247632786368,0.00181507835938496,2.18961473287344,
112,C,2000,5,1,mean,0.0180416413015052,0.0175035545110002,0.0136777377972778,1.46870614538823,
113,C,2000,5,1,mean,0.000207672079768857,0.000155043377942991,0.00020849462792834,1.8482472276088,
114,C,2000,5,1,mean,0.000942278541837419,0.00105230643270394,0.000253688333350953,2.30130919382633,
115,C,2000,5,1,mean,1.83709923262116e-05,0.000304786233861677,0.00155764412902896,2.73856243017724,
116,C,2000,5,1,mean,7.53934608796945e-05,3.92694138585939e-05,0.000641307403417627,2.52665281279449,
117,C,2000,5,1,mean,4.37280994024286e-05,0.0223179611590017,0.00453172353407052,2.17710084783832,
118,C,2000,5,1,mean,0.00108477192926987,0.00115171399937237,0.000763995986950683,2.26145573410859,
119,C,2000,5,1,mean,0.000539138183370596,0.00035886269470006,0.00300943403436958,2.48140534427031,
120,C,2000,5,1,mean,0.00112111997188168,0.00152436063782838,6.10014563213423e-05,2.35554273247721,
121,C,2000,5,1,mean,0.000534660522982648,0.000530001698900577,8.62532736260849e-05,1.7630377563526,
122,C,2000,5,1,mean,0.000776751746643147,0.000307215534633741,0.000491941619953497,2.57773002994738,
123,C,2000,5,1,mean,0.000551882315564617,0.000861311627132751,0.000164015177774864,2.1814324577956,
124,C,2000,5,1,mean,6.10162415461999e-07,2.55135333372241e-06,0.00025241086301458,1.92254328628253,
125,C,2000,5,1,mean,0.00136335014729927,0.00119028354148981,0.000602020906133655,2.01679447333544,
126,C,2000,5,1,mean,0.00106801027958089,0.00175226017341909,0.00114741241477142,2.08014699952306,
127,C,2000,5,1,mean,0.000874727987028126,0.000843508284918982,0.000502813645053912,2.17363389559726,
128,C,2000,5,1,mean,0.00394575592733149,0.00409970170794929,0.00290223197675959,2.16551712553027,
129,C,2000,5,1,mean,0.010989373568579,0.0115916267188745,0.0168420118867778,1.55794481485739,
130,C,2000,5,1,mean,0.000814831937924039,0.000443145516113172,0.0014664910846749,1.92347103599225,
131,C,2000,5,1,mean,0.00262946742210151,0.00263364649570397,0.00112119205197251,1.70780435404693,
132,C,2000,5,1,mean,0.00407571040736722,0.00405821672657977,0.00994939221855368,2.2220462493591,
133,C,2000,5,1,mean,8.61678512483525e-05,9.84647921219866e-05,2.64015805210755e-05,2.08089881521763,
134,C,2000,5,1,mean,0.00291338093247251,0.00225944340501396,0.000790372503133666,1.77726749503576,
135,C,2000,5,1,mean,0.000368698713363582,0.000158038051650472,4.65952397937595e-05,2.11022575897821,
136,C,2000,5,1,mean,0.00238748694546603,5492682497.11785,0.00025498165500592,2.0965643746258,
137,C,2000,5,1,mean,2.85016611533709e-05,1.01689594741739e-05,0.000387560975411008,2.05292164711186,
138,C,2000,5,1,mean,0.000211499201049844,0.000194121541483924,0.0025160616657965,2.37960705246593,
139,C,2000,5,1,mean,0.00222365395507524,0.00199159379072326,0.00477418286938598,1.90893461213409,
140,C,2000,5,1,mean,0.000138044501092296,0.000179688486574421,0.000312487144863527,2.04903436527418,
141,C,2000,5,1,mean,0.000933699443092792,0.00127688688442646,0.000362446842900068,2.44413124596439,
142,C,2000,5,1,mean,0.00158436066178103,0.00158410346320371,1.42752173707789e-07,1.93547031836398,
143,C,2000,5,1,mean,0.00116849818165664,0.00107807863671105,0.000655403538504406,2.53256550952823,
144,C,2000,5,1,mean,0.00413483018559619,0.00441773844684183,0.00424570816169825,1.85965684422791,
145,C,2000,5,1,mean,0.0108737713676453,0.00908282551300998,0.00333149821347031,2.03673106336446,
146,C,2000,5,1,mean,3.34974688555747e-05,5.95377707222616e-05,0.000298473014871534,1.75532837401233,
147,C,2000,5,1,mean,0.00728153686655048,0.00771691447227173,0.00589001856277837,1.91422317370887,
148,C,2000,5,1,mean,0.00175164461244879,0.00133216223408195,0.00769694122290766,1.85482317474467,
149,C,2000,5,1,mean,0.010078074688347,0.0100471900291029,0.00432313507883749,2.15917179310745,
150,C,2000,5,1,mean,0.00188347647610063,0.00199741864373934,0.00231791481003675,2.27096961798435,
151,C,2000,5,1,mean,0.00986539931683056,0.00975871223981507,0.00329026328756639,2.66426926947863,
152,C,2000,5,1,mean,2.21720902338108e-05,1.43800699528568e-05,0.000678301716741882,2.77946819767339,
153,C,2000,5,1,mean,6.87897708514276e-05,1.37565637110319e-05,0.000834479634483048,2.54128407053976,
154,C,2000,5,1,mean,0.0029245089800478,0.00300364123627493,0.00696503841586705,1.84707678414125,
155,C,2000,5,1,mean,1.70387024318864e-05,1.86626989526723e-05,0.0010361916876397,2.09820540971466,
156,C,2000,5,1,mean,0.000190096048010408,0.000193512912976438,3.05546510885347e-06,2.5479422973925,
157,C,2000,5,1,mean,0.00204311621748715,0.00245821799601536,0.000134755256483968,2.32457719855241,
158,C,2000,5,1,mean,1.47020273635518e-05,3.24419853023215e-05,0.000106540987565822,2.21996926173037,
159,C,2000,5,1,mean,0.0176380334221062,0.015254411937209,0.00486645445095306,2.12891528601008,
160,C,2000,5,1,mean,0.00547573208062838,0.00531835023242081,0.00198946109980299,2.39682943841244,
161,C,2000,5,1,mean,0.00113891110779285,0.000806123890924683,0.00135541086211837,1.92674325177886,
162,C,2000,5,1,mean,0.00169254103345238,0.00176147403444822,0.00343463339308921,2.6551520781242,
163,C,2000,5,1,mean,0.00126284647817588,0.00131578193713061,0.000273228234576301,2.54716908170353,
164,C,2000,5,1,mean,0.014400159391964,0.0147280009555106,0.0118959039307855,2.41064227370783,
165,C,2000,5,1,mean,0.00949831709807394,0.00947409743314455,0.0135761072957346,1.74987250169189,
166,C,2000,5,1,mean,3.2046205391415e-06,9.94739189603026e-06,0.000325931232186105,2.0494862886668,
167,C,2000,5,1,mean,0.00189876217943448,0.0021135997002691,0.00151412641715325,2.03642875846811,
168,C,2000,5,1,mean,2.20693115368338e-05,2.19182164358279e-05,7.81583164632108e-08,2.18187081865031,
169,C,2000,5,1,mean,0.004957195903009,0.00554199370314516,0.0121689208108828,1.48410688592339,
170,C,2000,5,1,mean,0.0065140912865864,0.00644552856011819,0.00107098844496956,2.61784910081606,
171,C,2000,5,1,mean,0.000355167563577594,0.000387265229748496,0.00036038039807968,2.49810191967143,
172,C,2000,5,1,mean,0.000379102561329401,0.000468043516593081,3.97303324554536e-05,2.43047358132619,
173,C,2000,5,1,mean,0.00394939611159174,0.00306494479591404,0.000838858650986141,2.16506296269211,
