iter,sim_type,n,d,sigma,lrnr,ep_risk,dr_risk,r_risk,t_risk,causal_forest_risk
1,A,500,5,1,xg,0.200342807226389,0.547011815762316,0.125230912308547,0.241931477777959,
2,A,500,5,1,xg,0.0692694618960549,0.17682876862745,0.0669351982969449,0.172536105490812,
3,A,500,5,1,xg,0.0522312034312964,0.0561080412253686,0.117472446708651,0.119174877295362,
4,A,500,5,1,xg,0.159655177962179,0.267148082219077,0.0983145951955481,0.1924177900869,
5,A,500,5,1,xg,0.113309792204802,0.308742290164051,0.117678552419732,0.250683404219227,
6,A,500,5,1,xg,0.0936263102941488,0.214071491159989,0.140173845895646,0.177414499530995,
7,A,500,5,1,xg,0.11183741881536,0.173312012184249,0.0879760085749846,0.178051193621501,
8,A,500,5,1,xg,0.125349132170039,0.145274101410568,0.156302193401847,0.158005777472952,
9,A,500,5,1,xg,0.0802333369943804,0.202208507396922,0.0924353351286212,0.158945855060569,
10,A,500,5,1,xg,0.179779849044494,0.360824025026617,0.156416973803338,0.197494812672858,
11,A,500,5,1,xg,0.128500503329958,0.0687214542431412,0.064133828509404,0.151626953185747,
12,A,500,5,1,xg,0.0916394223839402,0.718081662552222,0.142027972404671,0.125382798310697,
13,A,500,5,1,xg,0.114827021628474,0.234863783264071,0.142121037913788,0.132551887962459,
14,A,500,5,1,xg,0.254923834407633,0.145973104772412,0.107103492413108,0.101774030474313,
15,A,500,5,1,xg,0.184342411524961,0.339523669253977,0.132198937679529,0.135963571255822,
16,A,500,5,1,xg,0.0459798714132475,0.103941419683544,0.0809796344782011,0.108853844327919,
17,A,500,5,1,xg,1.05621647423704,157208.667339696,0.651187114137396,0.165314138431628,
18,A,500,5,1,xg,0.176810317935415,0.0598545912798475,0.0501293649099666,0.117295249232255,
19,A,500,5,1,xg,0.043130492290714,0.0589421797884991,0.0818657780049238,0.133963583727672,
20,A,500,5,1,xg,0.105310988700035,0.174049635215613,0.167897061029609,0.0812901474804894,
21,A,500,5,1,xg,0.14836327730042,0.160536966239666,0.157541089980674,0.204456919058033,
22,A,500,5,1,xg,0.106278375265543,0.320322486000838,0.0808071488753128,0.212697146538245,
23,A,500,5,1,xg,0.225948998652553,0.297587974282919,0.163314666288789,0.257119098564415,
24,A,500,5,1,xg,0.056284979967046,0.126551709046618,0.0682168969563523,0.205036899809814,
25,A,500,5,1,xg,0.105899692261252,0.179389908859731,0.13179493632325,0.168524683995374,
26,A,500,5,1,xg,0.107066846176749,0.108024195992034,0.0846981746423385,0.191026653456596,
27,A,500,5,1,xg,0.154394513391426,0.181186360524318,0.133350995866099,0.164452387540257,
28,A,500,5,1,xg,0.0511173799881229,0.0934401339587134,0.0996425844611698,0.285914746420499,
29,A,500,5,1,xg,0.0878654555499436,0.0954068830121903,0.118642088030202,0.142397917235623,
30,A,500,5,1,xg,0.0458554435753336,0.247306432226916,0.0804062516852532,0.126536018967666,
31,A,500,5,1,xg,0.123307429767286,0.113890229480088,0.133828442270176,0.175848360256309,
32,A,500,5,1,xg,0.0750140863984808,0.100118016763918,0.147973418717419,0.137975992847774,
33,A,500,5,1,xg,0.077273256180641,0.105630874735835,0.158308284411597,0.15601103657738,
34,A,500,5,1,xg,0.0873636524275165,0.123249519471627,0.0741115778032006,0.171035450603218,
35,A,500,5,1,xg,0.0931140085440214,0.110775625032986,0.14970770640604,0.195782454494865,
36,A,500,5,1,xg,0.10875184777437,0.655619554738851,0.134565342409093,0.133537342038093,
37,A,500,5,1,xg,0.0978808711973659,0.169328665846343,0.0654874306420832,0.147340190948541,
38,A,500,5,1,xg,0.096270833693362,0.121942462374711,0.117352261402021,0.215197434438262,
39,A,500,5,1,xg,0.0884495388859188,0.125079886441535,0.135593607637042,0.131410050938508,
40,A,500,5,1,xg,0.0934760296874488,0.125419677255927,0.112504173365457,0.13418960905743,
41,A,500,5,1,xg,0.120266475515759,0.110538464165084,0.104962013540449,0.106706253651087,
42,A,500,5,1,xg,0.202425323498007,0.933201915648508,0.586646682583662,0.170305529650972,
43,A,500,5,1,xg,0.142697210176174,0.154530874575503,0.150578167469249,0.215062045040365,
44,A,500,5,1,xg,0.149403722877676,0.166553610942056,0.179954903970396,0.224526838254441,
45,A,500,5,1,xg,0.192480700455224,2.231676220483,0.0834240070110921,0.268048771047042,
46,A,500,5,1,xg,0.0668769627044407,0.0947537942507969,0.109273912562145,0.171274826800123,
47,A,500,5,1,xg,0.214719671027705,0.171535624936178,0.148640300120012,0.11875725530874,
48,A,500,5,1,xg,0.224518059116847,1.39909193466135,0.147415355522511,0.263610813635765,
49,A,500,5,1,xg,0.060126734976096,0.112925529452808,0.0582594630581442,0.105141246503897,
50,A,500,5,1,xg,0.259344535029421,0.253975292565535,0.15268662808355,0.194614228597003,
51,A,500,5,1,xg,0.0377150317017495,0.124943328044142,0.108189575860024,0.142437421856088,
52,A,500,5,1,xg,0.0195724358277079,0.0686912345229487,0.114113940554123,0.0866836019437647,
53,A,500,5,1,xg,0.0193139958048092,0.0663473244226953,0.0633752753010244,0.144466442025106,
54,A,500,5,1,xg,0.134993788870041,0.279566041088271,0.547158847761522,0.147247414638416,
55,A,500,5,1,xg,0.0497775219945867,0.452501801348501,0.0724332468430851,0.155612905309344,
56,A,500,5,1,xg,0.0996467286767595,0.0913825694830286,0.100169790387544,0.185696372337523,
57,A,500,5,1,xg,0.174763944932236,0.19065528579738,0.154890808822929,0.173427843790158,
58,A,500,5,1,xg,0.18159040577659,7.49988855984509,0.196417651911887,0.101371518590269,
59,A,500,5,1,xg,0.216086292362129,0.318645043104382,0.284993214477984,0.187532047575304,
60,A,500,5,1,xg,0.131972937860787,0.155515739156049,0.118506586334937,0.114490979365539,
61,A,500,5,1,xg,0.052709332166082,0.120679135530117,0.167353605893327,0.26835337966693,
62,A,500,5,1,xg,0.058424135218514,0.126665755057336,0.0685930164246095,0.175877709466079,
63,A,500,5,1,xg,0.207190842917306,0.30643283475511,0.149194550195462,0.252556980150206,
64,A,500,5,1,xg,0.186028335370464,0.216543659518196,0.0845656352973251,0.235735546454204,
65,A,500,5,1,xg,0.0728170678752045,0.124219389343841,0.19266764103726,0.133998008623518,
66,A,500,5,1,xg,0.0956123713975676,0.117782510334109,0.103684134910237,0.22250779042817,
67,A,500,5,1,xg,0.044441820724378,0.153182625470913,0.0624420608250446,0.100886398707033,
68,A,500,5,1,xg,0.0758866918679723,0.446093311103706,0.14798487409545,0.0830120435856723,
69,A,500,5,1,xg,0.0334460580160214,0.0779882889121144,0.165053546880578,0.101675301036448,
70,A,500,5,1,xg,0.0771463688115022,0.102173365748207,0.156298073260776,0.257423243642104,
71,A,500,5,1,xg,0.0739549418551068,0.0736357463409734,0.100087453371678,0.152984445577064,
72,A,500,5,1,xg,0.142618186987084,0.270841596389814,0.223677294753388,0.176532428276733,
73,A,500,5,1,xg,0.0670972777154652,0.238525513279945,0.108832688110945,0.157299821688534,
74,A,500,5,1,xg,0.138325426961767,0.185133960461542,0.0798466588056847,0.106430483227313,
75,A,500,5,1,xg,0.108185062293788,0.116949796228303,0.099400490711821,0.199434214644001,
76,A,500,5,1,xg,0.0401726974992145,0.303359158033286,0.0427767386068327,0.13517037212413,
77,A,500,5,1,xg,0.0721665627059986,0.187636675270875,0.0581622201328178,0.15338708268872,
78,A,500,5,1,xg,0.394015251536541,0.522463653343004,0.0894916132968038,0.120803304864269,
79,A,500,5,1,xg,0.0478832691136398,0.268264755307987,0.0524510532659044,0.107991926060868,
