iter,sim_type,n,d,sigma,lrnr,ep_risk,dr_risk,r_risk,t_risk,causal_forest_risk
1,C,500,5,1,mean,0.0215370868102412,0.0204908431230989,0.00883823912818784,2.44359135004308,
2,C,500,5,1,mean,0.0256140432424671,0.0273276969662021,0.00963822924861141,2.19780760064465,
3,C,500,5,1,mean,0.0112324574182491,0.0128291664666476,0.000220110389333967,2.54823219545656,
4,C,500,5,1,mean,0.0594231617389229,0.0603042493857461,0.0403687945453805,2.16935856044319,
5,C,500,5,1,mean,0.0130453393246563,0.0159175348040682,0.0120734117758387,2.08477498357369,
6,C,500,5,1,mean,0.212957894246109,0.247119032216073,0.026341260084623,2.66680462295707,
7,C,500,5,1,mean,0.0209637893603529,0.0207387256744779,0.00847140920282837,2.77848277425361,
8,C,500,5,1,mean,0.000564587850527276,0.000528483678278306,3.69451587527647e-06,2.52787923174057,
9,C,500,5,1,mean,0.00186474029876862,4.99880176313679e-05,0.0247615496229587,1.48587743036742,
10,C,500,5,1,mean,0.0324065956294759,0.0224605975157473,0.0085461564062206,1.27639565138582,
11,C,500,5,1,mean,0.0128858471242455,0.011219806727889,0.012259420090882,1.52433904041366,
12,C,500,5,1,mean,0.000153729033604948,0.000314227746214289,0.00131615547396728,2.87421541091058,
13,C,500,5,1,mean,0.00424218604155644,0.00401737917189411,0.00253420095564741,1.92980077454917,
14,C,500,5,1,mean,0.000694102417870969,0.000217959569872641,0.00035464336362839,3.33015826151218,
15,C,500,5,1,mean,0.0461201388500612,0.0422871304919649,0.0298111217632026,1.77362227534712,
16,C,500,5,1,mean,0.000999880684303374,0.00106848878535076,0.00989006398349278,1.6857148222937,
17,C,500,5,1,mean,0.0155156635181613,0.0154550154209049,0.000272790535267623,1.11667316335224,
18,C,500,5,1,mean,0.0264933134315348,0.0280812726756843,0.0411380016526887,1.35995943448406,
19,C,500,5,1,mean,0.0392358267879028,0.0489647959870452,0.0192636382781298,1.43420369769616,
20,C,500,5,1,mean,1.58703710984073e-06,4.67861016264089e-05,0.00815848386514473,2.10636343027415,
21,C,500,5,1,mean,0.00702364627745372,0.00638119931271191,0.00449176014048317,1.72342462367303,
22,C,500,5,1,mean,0.00022032086944683,0.000205688214162207,3.83009716835997e-06,1.62959084231778,
23,C,500,5,1,mean,0.000770896579325665,0.000596474367985341,1.21254800192855e-05,1.90691791150707,
24,C,500,5,1,mean,0.0264333930685112,0.026045501232707,0.00469336728815424,3.31699065265878,
25,C,500,5,1,mean,0.0896624066184505,0.0943329497793774,0.00311379531208663,2.55436089943001,
26,C,500,5,1,mean,0.000107160394915825,0.000199770971934804,6.99920234311513e-05,1.83434996903856,
27,C,500,5,1,mean,5.831072771897,55364043052.1133,0.000108512505443121,1.83141392129577,
28,C,500,5,1,mean,0.000850770242423641,0.00044343326170719,0.0186540639655188,2.24944872206394,
29,C,500,5,1,mean,0.00140704607600968,0.00100840879610192,0.00918585273874373,2.58321150499821,
30,C,500,5,1,mean,0.0154086964558303,0.017171283532882,0.0336347506884076,2.98331302302987,
31,C,500,5,1,mean,0.0625302428636143,0.229635053742107,0.0276192604283727,2.05565595316159,
32,C,500,5,1,mean,0.0143123342921601,0.0141481204256225,0.0162841411447929,1.88024854001204,
33,C,500,5,1,mean,0.00296254848078241,0.00506243671272454,0.00239287625916987,1.93911346310354,
34,C,500,5,1,mean,0.0180514281303187,0.0183198764598538,0.000825755557515437,2.16366955243892,
35,C,500,5,1,mean,0.00257833029893125,0.0033362452691443,9.42315747173776e-05,3.2326584356571,
36,C,500,5,1,mean,0.0112855396431312,0.0114424739064259,0.01343993015036,1.84327381587853,
37,C,500,5,1,mean,0.00171891760481756,0.000514874377360263,0.00148153852612931,3.56844546022571,
38,C,500,5,1,mean,0.00733430008554978,0.00182742087441518,0.00976200175828957,1.67289046498725,
39,C,500,5,1,mean,0.00230198904239091,0.00196399370027278,0.0213017437057596,2.0189939092482,
40,C,500,5,1,mean,0.0372048595315886,0.0363365380991976,0.00026726615888208,2.86976390333787,
41,C,500,5,1,mean,0.00182302632828323,0.00110778968479303,0.00175018668359706,2.40234357917251,
42,C,500,5,1,mean,0.049502370476273,0.0614925851887405,0.00204657312843946,1.64410949057806,
43,C,500,5,1,mean,0.00375412906007522,0.00540221649421825,1.31984957650396e-06,1.83302771248013,
44,C,500,5,1,mean,0.00151411363749135,0.00251137473961591,1.88862060023773e-05,2.12863214066252,
45,C,500,5,1,mean,0.000386892966187558,0.00165323409441829,0.00365332306865435,2.32494594986213,
46,C,500,5,1,mean,0.00282419452837832,0.00222385990369184,0.0176176880259958,1.78327702230647,
47,C,500,5,1,mean,0.221350056144643,0.21405155218468,0.0525879359145498,2.18880701349275,
48,C,500,5,1,mean,0.0536345807096581,0.043532226823182,0.0162051435920604,3.31018716896652,
49,C,500,5,1,mean,0.00278564648917138,0.00308570341683345,0.00464366583613199,1.87495079487996,
50,C,500,5,1,mean,8.19479487923543e-06,0.000132498859360726,0.000635532855484701,1.68405315363039,
51,C,500,5,1,mean,0.0139601063254325,0.0194928692986798,0.00911728636975942,2.40698970158481,
52,C,500,5,1,mean,0.00930010627479331,0.00920484954840785,0.00289817977621552,2.90510593087871,
53,C,500,5,1,mean,0.00615326529869262,0.00316427181722085,0.00138424030647176,2.14400383266968,
54,C,500,5,1,mean,0.0100331028550058,0.0148552397392592,0.0225500746435387,1.56191181220652,
55,C,500,5,1,mean,8.52501595380489e-05,0.000231608375719971,0.00320943353837785,2.25957805876132,
