iter,sim_type,n,d,sigma,lrnr,ep_risk,dr_risk,r_risk,t_risk,causal_forest_risk
1,C,500,5,1,xg,0.0640781911448826,0.0817025664135696,0.11797371181371,0.75021587240531,
2,C,500,5,1,xg,0.0799215865996616,0.200363119168094,0.0994646561403702,0.699053009175146,
3,C,500,5,1,xg,0.0313078526691165,0.146238627694003,0.117940922529352,0.932454409525191,
4,C,500,5,1,xg,0.0958828477562782,0.397878420457778,0.0870242275261893,0.759477317517455,
5,C,500,5,1,xg,0.133927618665348,0.234740807892654,0.148234519497709,0.815374812411005,
6,C,500,5,1,xg,1.00468937303346,0.995662422195421,0.124297338246967,1.02695026218921,
7,C,500,5,1,xg,0.0911010983044373,0.129275280762772,0.0875519333516944,1.05002607587636,
8,C,500,5,1,xg,0.0282447671225252,0.0744579273204704,0.0815716479952679,0.943157305996012,
9,C,500,5,1,xg,0.239107896879676,0.274432033404003,0.216217723115306,1.10362967044365,
10,C,500,5,1,xg,0.131226606719643,0.168397538211535,0.0722159933795731,0.783667913201437,
11,C,500,5,1,xg,0.058113180954504,0.095433506210791,0.125860413210163,0.741699381748584,
12,C,500,5,1,xg,0.0271574371513553,0.120682378670083,0.109513070245716,1.01941100709239,
13,C,500,5,1,xg,0.122748242078549,0.142023033828214,0.152426503263,0.952973486990332,
14,C,500,5,1,xg,0.0643735237909803,0.0847828938980698,0.13701345064503,0.917725874003014,
15,C,500,5,1,xg,0.111679650509709,0.199200875047545,0.192422668402393,0.818548130418134,
16,C,500,5,1,xg,0.00601342022591779,0.21274907807004,0.118177609669404,0.678179362343328,
17,C,500,5,1,xg,0.0672599610816651,0.139366751734823,0.156417263289956,0.369847136565636,
18,C,500,5,1,xg,0.0649816296322145,0.135351701430283,0.18652774946712,0.598226931643658,
19,C,500,5,1,xg,0.112974948819017,0.167126061085825,0.137294351625306,0.612313769287935,
20,C,500,5,1,xg,0.0473396816122338,0.0729396618180593,0.124208364041919,0.973662039877555,
21,C,500,5,1,xg,0.0493519477874901,0.098959952702733,0.0950270627937134,1.20583147490319,
22,C,500,5,1,xg,0.066816152234894,0.122589472271493,0.132140406293001,0.659690698604592,
23,C,500,5,1,xg,0.0870049739117664,0.108724031281339,0.112307956377653,0.947306519388567,
24,C,500,5,1,xg,0.116059171999294,0.144211968772417,0.0930611952998272,1.13963705231814,
25,C,500,5,1,xg,0.115789651361194,0.48236646487956,0.105606997834945,1.05213852865571,
26,C,500,5,1,xg,0.0513548726002817,0.124513415346864,0.0420325848788045,1.1764531607314,
27,C,500,5,1,xg,5.80215327144438,3150980717894.53,0.11797425163652,0.700859085539873,
28,C,500,5,1,xg,0.0642642964008631,0.174651164765303,0.165503487695822,0.687135730113076,
29,C,500,5,1,xg,0.10704349528353,0.320486980720762,0.112575219833614,0.832459864217672,
30,C,500,5,1,xg,0.0340806099760132,0.101838268954134,0.110870524635079,0.898231937406507,
31,C,500,5,1,xg,0.253187953357491,2.50532843982279,0.146674191010723,0.88937043634335,
32,C,500,5,1,xg,0.0484081884635502,0.113883172981116,0.0725040468103667,0.854072383008238,
33,C,500,5,1,xg,0.0583989483641318,0.159072492224157,0.0946008986520826,0.706170153146922,
34,C,500,5,1,xg,0.176501150976557,0.183046601395243,0.128523122714634,1.05608746599541,
35,C,500,5,1,xg,0.0132099303140014,0.0753381992493315,0.0658655285455418,1.12214063575675,
36,C,500,5,1,xg,0.246149842865001,0.22409565748199,0.0708748403919758,0.586086928036949,
37,C,500,5,1,xg,0.0673298204014351,0.247416731337498,0.0808852417612097,0.941966428877768,
38,C,500,5,1,xg,0.245214969694913,0.12355381639081,0.129979955194253,0.637175603794575,
39,C,500,5,1,xg,0.00670664774399217,0.101624781809954,0.0457207565316045,0.86562046783719,
40,C,500,5,1,xg,0.0667236505472671,0.0864681803197952,0.0560529795174213,0.990307216983153,
41,C,500,5,1,xg,0.13410197272778,0.193353914372326,0.160925552641317,1.02763121675436,
42,C,500,5,1,xg,0.144912901243625,0.282898749374462,0.148252291538778,0.88351357842109,
43,C,500,5,1,xg,0.0215868968431306,0.0802208660444744,0.0629254829958432,0.705975105399897,
44,C,500,5,1,xg,0.172676368424525,0.171187217327786,0.197450205216078,0.754262552363881,
45,C,500,5,1,xg,0.19931737720045,0.200957173832802,0.147232041849486,0.921580904371385,
46,C,500,5,1,xg,0.0573924398528835,0.200691654453083,0.138549082886766,0.718543117527136,
47,C,500,5,1,xg,0.309305971940593,0.59949055523896,0.152545284002103,1.1663292162648,
48,C,500,5,1,xg,0.0936446552794221,0.0957711416139155,0.102726855142924,1.27988732570858,
49,C,500,5,1,xg,0.0371158495749508,0.0899656279357295,0.156692426885973,0.606608942891845,
50,C,500,5,1,xg,0.121565682931568,0.253288256116022,0.129735738712853,0.865943292876305,
51,C,500,5,1,xg,0.116372442078065,0.165816527485369,0.110405634698962,0.950578279920193,
52,C,500,5,1,xg,0.0636826212199811,0.181044308785687,0.0939900128727394,0.709702724495288,
53,C,500,5,1,xg,0.0683478240773039,0.335460185133376,0.096466929173402,0.931485357509928,
54,C,500,5,1,xg,0.199958807015531,0.10539426102629,0.129393193624809,0.779077951787177,
55,C,500,5,1,xg,0.0614529737974199,0.135096925939713,0.10824838410343,0.714666090704606,
