iter,sim_type,n,d,sigma,lrnr,ep_risk,dr_risk,r_risk,t_risk,causal_forest_risk
1,B,500,5,1,gam,0.0420015109151105,0.0472296564054349,0.256652269700764,0.0661094905685002,
2,B,500,5,1,gam,0.0700707276747571,0.0558604872109115,0.0941127934660041,0.0761311769457342,
3,B,500,5,1,gam,0.0662057660793803,0.048241177648811,0.170219918460439,0.0600266425757432,
4,B,500,5,1,gam,0.0986071613723741,0.0640969836851125,0.075883999278451,0.0376165372076436,
5,B,500,5,1,gam,0.0632941719591256,0.111359078498832,0.14893850366247,0.0624976767315584,
6,B,500,5,1,gam,0.138413081631958,0.139061728482791,0.357878259947319,0.0814088090153042,
7,B,500,5,1,gam,0.110738857386708,0.233287869790757,0.150073295758242,0.159131750278,
8,B,500,5,1,gam,0.0562049907597041,0.0774623792199412,0.0891621929932133,0.0801712923947892,
9,B,500,5,1,gam,0.0775954455471948,0.0686375512895925,0.148849139585966,0.122357256096597,
10,B,500,5,1,gam,0.0544478638470475,0.0891101768844278,0.398933885622846,0.0899861732314725,
11,B,500,5,1,gam,0.171596047595854,0.23757278305639,0.421771400178908,0.164980704508744,
12,B,500,5,1,gam,0.105292784897319,0.0984945733937892,0.12718702572155,0.168563325320639,
13,B,500,5,1,gam,0.106089887425239,0.107283942380313,0.145648116499505,0.118024887140132,
14,B,500,5,1,gam,0.169580670503188,0.17956885396939,0.0476032854472881,0.0807790585011966,
15,B,500,5,1,gam,0.2385136836137,0.208029538463255,0.205964635089818,0.0778851263860542,
16,B,500,5,1,gam,0.150461933591194,0.149149322143967,0.157184116495828,0.144795827365041,
17,B,500,5,1,gam,0.0953907049953052,0.101206924249755,0.243720555923216,0.186236429230483,
18,B,500,5,1,gam,0.0560532219829394,0.104457826620944,0.0364148817903274,0.0977380003951162,
19,B,500,5,1,gam,0.206845204051008,0.225112376296754,0.0333963710883137,0.137673658258013,
20,B,500,5,1,gam,0.0583954110252981,0.0312484334613227,0.234554249088831,0.0469496686374267,
21,B,500,5,1,gam,0.249188375859287,0.214890160942487,0.310324108268702,0.205134334195816,
22,B,500,5,1,gam,0.301362104836055,0.160118225061574,0.16266093339269,0.143894940030669,
23,B,500,5,1,gam,0.0679087170367801,0.0744966551954707,0.119157424909965,0.0954227874075676,
24,B,500,5,1,gam,0.086080367819632,0.0963514775774443,0.0948964528816732,0.129744128210802,
25,B,500,5,1,gam,0.0494357347076549,0.0647929486786075,0.090448824711247,0.158662620039467,
26,B,500,5,1,gam,0.0889445994751319,0.101007835724072,0.174044811592351,0.186388701337998,
27,B,500,5,1,gam,0.0471080387998652,0.0450647988233467,0.141848250278886,0.083199696390901,
28,B,500,5,1,gam,0.050361873008412,0.0820945211164135,0.140266980173119,0.0783443426831828,
29,B,500,5,1,gam,0.0860585977052746,0.0880800615105445,0.136873862183372,0.102018624819261,
30,B,500,5,1,gam,0.15577251591133,0.132486040292899,0.148185137799919,0.0988249446029924,
31,B,500,5,1,gam,0.232571296153398,0.237566068079616,0.354567979829091,0.12648213656269,
32,B,500,5,1,gam,0.151045861762621,0.120000413962406,0.127555071797852,0.087034814213695,
33,B,500,5,1,gam,0.122364236282922,0.0985923081968528,0.1556409700702,0.112828597504395,
34,B,500,5,1,gam,0.202440793611471,0.113117017011276,0.163719996515653,0.156784824543525,
35,B,500,5,1,gam,0.0734283644309308,0.0695820874710771,0.168677386265683,0.0597335493290682,
36,B,500,5,1,gam,0.116473503781438,0.0877415743278365,0.117797390193884,0.0933716152659199,
37,B,500,5,1,gam,0.0649387100366491,0.0557504752065223,0.0657039356018484,0.0366034343031781,
38,B,500,5,1,gam,0.0880451839111558,0.188431880932259,0.116662371279464,0.131292797551823,
39,B,500,5,1,gam,0.065323262865395,0.0556836634351825,0.160169713304588,0.10002055713236,
40,B,500,5,1,gam,0.0743323460513956,0.0524984046925922,0.110957081955691,0.065676229579898,
41,B,500,5,1,gam,0.0964251302089688,0.107541494949708,0.0826619502368768,0.117676547583129,
42,B,500,5,1,gam,0.220392040225408,0.140918112516967,0.221152424727749,0.0681649047029423,
43,B,500,5,1,gam,0.0642008881051316,0.0758207496885323,0.119866005094192,0.0657879447056944,
44,B,500,5,1,gam,0.191918825569387,0.163949269768647,0.289171680671823,0.142731473024686,
45,B,500,5,1,gam,0.0515151784943545,0.0495901694279755,0.15555280286333,0.0421863306860441,
46,B,500,5,1,gam,0.120612449910852,0.113934458693465,0.114032873585424,0.137439314248065,
47,B,500,5,1,gam,0.0687027815020468,0.059246262626933,0.0648393470515003,0.0969373079405117,
48,B,500,5,1,gam,0.276460536849325,0.254586721444686,0.472247274772114,0.123286235476204,
49,B,500,5,1,gam,0.129021812082188,0.0980773805682441,0.104076133928053,0.0734854302150948,
50,B,500,5,1,gam,0.0921842317538606,0.10337643947063,0.241245542455927,0.0372612127012059,
51,B,500,5,1,gam,0.205564404593843,0.0785305938093156,0.108773532069364,0.117252927742341,
52,B,500,5,1,gam,0.190498014011964,0.152080479589288,0.408176102448138,0.112368955445778,
53,B,500,5,1,gam,0.036496710232077,0.0241290001077291,0.16152172244084,0.0392218589297746,
54,B,500,5,1,gam,0.0963767601994671,0.0650200034859841,0.139581674563359,0.0974503325397185,
55,B,500,5,1,gam,0.13911050328834,0.0952196646820698,0.089852985473068,0.113153102890429,
56,B,500,5,1,gam,0.163450509095056,0.170210763626852,0.378618948448345,0.144324882843189,
57,B,500,5,1,gam,0.0595424604473448,0.0455073790031798,0.121563798067788,0.0543077729524295,
58,B,500,5,1,gam,0.0918116612822985,0.109196199524044,0.177371785893082,0.199846376686334,
59,B,500,5,1,gam,0.0926640601711498,0.0655995498013074,0.0853770585615232,0.0867710408937351,
60,B,500,5,1,gam,0.0508024971097346,0.0481363585548116,0.190691383811416,0.0826522044153923,
61,B,500,5,1,gam,0.0912698252917675,0.0896435392353693,0.0645523540713037,0.0288652751462161,
62,B,500,5,1,gam,0.132088005066764,0.0644316299546534,0.075339358151084,0.0789266669844906,
63,B,500,5,1,gam,0.0865242855928224,0.0790232129450046,0.0751252642637355,0.0579525759990317,
64,B,500,5,1,gam,0.10334304919556,0.105462914726962,0.0912460343692908,0.11052334631178,
65,B,500,5,1,gam,0.0994940590839241,0.0964385431770722,0.0715485160317896,0.10465699387899,
66,B,500,5,1,gam,0.129718872728293,0.11548856316572,0.0980329336250878,0.115084410288362,
67,B,500,5,1,gam,0.0399482789848844,0.042299049585168,0.115266242645901,0.0928930806741116,
68,B,500,5,1,gam,0.158610320384381,0.124957586954038,0.203807531240528,0.118540115034433,
69,B,500,5,1,gam,0.111204598380806,0.166057646539006,0.163907112665196,0.0818483559341224,
70,B,500,5,1,gam,0.0339566823089813,0.033094597115434,0.0653231932861453,0.0527644303979378,
71,B,500,5,1,gam,0.12209923642597,0.104522882954848,0.199489943909979,0.0912422165673906,
72,B,500,5,1,gam,0.0737657276138681,0.0760637227180761,0.116626132984283,0.0588754263884619,
73,B,500,5,1,gam,0.151258037740223,0.170904999294153,0.0988112027999658,0.173177087060034,
74,B,500,5,1,gam,0.0710524015876812,0.0322651461098713,0.0658040393331138,0.0273093998156042,
75,B,500,5,1,gam,0.0827579461296329,0.0336081278493578,0.1016119654083,0.0528608098970217,
76,B,500,5,1,gam,0.0919103754166385,0.0948441494481128,0.139694351168232,0.0676490830468964,
77,B,500,5,1,gam,0.123850444936363,0.0991944667920558,0.10164450688357,0.126850703281272,
78,B,500,5,1,gam,0.0495080847528838,0.0363907453339825,0.161031376334141,0.0756411471041281,
79,B,500,5,1,gam,0.192043309159113,0.137390159390939,0.110578301712333,0.0982666844388877,
80,B,500,5,1,gam,0.0582762400007583,0.0787433747840217,0.0978541400926762,0.0590172501369587,
81,B,500,5,1,gam,0.172953885102607,0.154003382389951,0.169341859767719,0.0480821561711648,
82,B,500,5,1,gam,0.295974080473353,1.47667855082628,0.169773997875259,0.149836426968221,
83,B,500,5,1,gam,0.276788213021433,0.127732838064254,0.232594879933517,0.115144155748289,
84,B,500,5,1,gam,0.126030278394624,0.289375271204837,0.264614739459969,0.0953204910753741,
85,B,500,5,1,gam,0.132093072241177,0.159306518117132,0.136160843587221,0.0827967806485532,
86,B,500,5,1,gam,0.204866437842984,0.173123897298865,0.186304045942187,0.142457372888386,
87,B,500,5,1,gam,0.101093616844377,0.0727008236421321,0.0724810579247642,0.0749268380547848,
88,B,500,5,1,gam,0.124792517843483,0.101567387536436,0.170195550295183,0.0916185687330142,
89,B,500,5,1,gam,0.0747562040406738,0.0715969939830342,0.218218159723625,0.137387235503856,
90,B,500,5,1,gam,0.216502918074238,0.1523693171646,0.113738513037031,0.108645685462591,
91,B,500,5,1,gam,0.162708373668974,0.131895875420821,0.201796334132196,0.0965411537794676,
92,B,500,5,1,gam,0.129230453114127,0.123208250292346,0.16649300621896,0.110818517911521,
93,B,500,5,1,gam,0.0592376318264213,0.1134096264081,0.0875188013448157,0.082425458991965,
94,B,500,5,1,gam,0.0824371627712715,0.071015076125575,0.20013104918747,0.106082333359584,
95,B,500,5,1,gam,0.108979792433243,0.12051216918101,0.153274094007109,0.0987471780094575,
96,B,500,5,1,gam,0.0488623248837526,0.055643362581454,0.0659498745927404,0.0787330521552953,
97,B,500,5,1,gam,0.121232950062943,0.108388175402483,0.162888917081428,0.147658373476417,
98,B,500,5,1,gam,0.176116531047527,0.168596612470471,0.16458115174215,0.147088036131882,
99,B,500,5,1,gam,0.069675223976395,0.0620653868851238,0.0681860716758089,0.0678244754143349,
100,B,500,5,1,gam,0.0697667071878829,0.0754953461227563,0.148596304979801,0.0846846393063699,
