iter,sim_type,n,d,sigma,lrnr,ep_risk,dr_risk,r_risk,t_risk
1,A,500,5,1,xg,0.200342807226389,0.206779554782516,0.134439845394609,0.242190196093896
2,A,500,5,1,xg,0.0692694618960549,0.158712885591589,0.0656500072344171,0.174983507700837
